family,species,p4_m,p4_sd,p7_m,p7_sd,p2_m,p2_sd,p3_m,p3_sd,p8_m,p8_sd,p6_m,p6_sd,p1_m,p1_sd,p5_m,p5_sd,nentropy_m,nentropy_sd,sd_tot,trophic_guild_predicted,trophic_guild_predicted_text
Acanthuridae,Naso_thynnoides,0.04839293,0.089429563,0.029771154,0.071134923,0.728394029,0.301574099,0.001215997,0.013944637,0.177841213,0.238045598,0.001862543,0.01670877,0.002014265,0.021281857,0.010507869,0.036957448,0.849970172,0.131052922,0.403686604,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_caeruleacauda,0.045392131,0.086117867,0.028319386,0.070135829,0.726071812,0.303936705,0.001289047,0.01523283,0.184602286,0.244732638,0.001835064,0.016794637,0.002185298,0.022858938,0.010304975,0.038021296,0.852978952,0.128601004,0.408765404,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_minor,0.020324845,0.048488532,0.02097365,0.062273577,0.662844975,0.340883977,0.001616015,0.020657806,0.277297721,0.311388238,8.00E-04,0.010659457,0.003939645,0.034331257,0.012203401,0.0475259,0.869098301,0.113071547,0.472621807,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_maculatus,0.069124137,0.129441508,0.026611834,0.07443402,0.738664945,0.306609007,0.001549077,0.019188679,0.148306955,0.225404951,0.005844457,0.042832866,0.002843288,0.029649976,0.007055307,0.038423929,0.861406118,0.128814584,0.414331246,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_reticulatus,0.046861468,0.09716957,0.024319666,0.070787879,0.7204918,0.317906633,0.001728417,0.021793956,0.19158868,0.262921172,0.003356335,0.030140167,0.003273129,0.032116755,0.008380506,0.042256004,0.865550425,0.123391517,0.434563553,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_elegans,0.015397851,0.053775104,0.008991715,0.040441875,0.896089497,0.199445993,7.80E-04,0.010255937,0.0676549,0.156265612,0.001963435,0.021794235,0.004015577,0.040597463,0.005106754,0.036526248,0.937730479,0.094429764,0.268863248,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_caesius,0.076784712,0.137379897,0.044200816,0.108724514,0.172224129,0.266653613,0.005361592,0.043927741,0.665062789,0.329437888,0.006446463,0.045759495,0.012879082,0.07531022,0.017040415,0.058000219,0.841137522,0.130454561,0.472638297,8,planktivore
Acanthuridae,Naso_vlamingii,0.079965688,0.14188412,0.031695785,0.083877803,0.651138902,0.347621258,0.002019415,0.022670849,0.216167013,0.276466162,0.00686539,0.046214474,0.003763345,0.034855687,0.008384462,0.040567572,0.843276492,0.129171834,0.479532125,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_brevirostris,0.079965688,0.14188412,0.031695785,0.083877803,0.651138902,0.347621258,0.002019415,0.022670849,0.216167013,0.276466162,0.00686539,0.046214474,0.003763345,0.034855687,0.008384462,0.040567572,0.843276492,0.129171834,0.479532125,2,Herbivores Microvores Detritivores
Acanthuridae,Naso_annulatus,0.175146485,0.237773769,0.035273076,0.086960215,0.649703484,0.353167362,0.001559061,0.017147699,0.109094981,0.193858317,0.021742641,0.096869668,0.003036501,0.031997907,0.004443772,0.023854183,0.841683492,0.128207429,0.487521632,2,Herbivores Microvores Detritivores
