Gaspar_code,Family,Genus,Species,Sizec,Size,Mobility,Activity,Schooling,Position,Diet_Mouillot_2014,Diet_Parravicini_2020
10,Carangidae,Alectis,indicus,165,6,3,2,3,3,FC,
10006,Gobiidae,Wheelerigobius,maltzani,4.5,1,1,1,1,1,IM,Microinvertivores
1001,Carangidae,Oligoplites,saurus,35,4,3,2,4,3,FC,Piscivores
1002,Carangidae,Pseudocaranx,dentex,122,6,3,2,3,3,FC,Piscivores
10023,Eleotridae,Ophiocara,porocephala,34,4,1,NA,NA,NA,IM,
1004,Carangidae,Selene,vomer,48.29999924,4,3,1,4,3,IM,Piscivores
1005,Carangidae,Seriola,dumerili,190,6,3,2,3,3,FC,Piscivores
1006,Carangidae,Seriola,fasciata,67.5,5,3,1,4,3,FC,Piscivores
1007,Carangidae,Seriola,rivoliana,160,6,3,2,3,3,FC,Piscivores
1008,Carangidae,Seriola,zonata,75,5,3,1,4,3,FC,Piscivores
1010,Carangidae,Trachinotus,falcatus,122,6,3,1,4,2,IM,Macroinvertivores
10106,Cheilodactylidae,Nemadactylus,macropterus,70,5,3,2,5,1,IM,
1011,Carangidae,Trachinotus,goodei,50,5,3,1,4,2,IM,Piscivores
10136,Muraenidae,Enchelycore,lichenosa,90,6,1,3,1,1,FC,Crustacivores
10139,Muraenidae,Gymnothorax,chlamydatus,60,5,1,3,1,1,IM,Crustacivores
10143,Muraenidae,Gymnothorax,kidako,91.5,6,1,3,1,1,FC,Crustacivores
10145,Muraenidae,Gymnothorax,neglectus,120,6,1,3,1,1,FC,Crustacivores
10146,Muraenidae,Gymnothorax,prasinus,91.5,6,1,3,1,1,FC,Crustacivores
10159,Muraenidae,Gymnothorax,reevesii,60,5,1,3,1,1,FC,Crustacivores
10160,Muraenidae,Gymnothorax,reticularis,60,5,1,3,1,1,FC,Crustacivores
1017,Congridae,Conger,triporiceps,100,6,1,1,1,1,FC,Crustacivores
1018,Cynoglossidae,Symphurus,diomedeanus,NA,NA,1,NA,NA,NA,IM,
10185,Scorpaenidae,Scorpaena,maderensis,14,2,1,3,1,1,FC,Crustacivores
6515,Chaetodontidae,Chaetodon,adiergastos,20,3,1,1,2,1,IM,Corallivores
10196,Haemulidae,Parapristipoma,humile,37,4,2,2,5,2,IM,Microinvertivores
10201,Sciaenidae,Umbrina,steindachneri,47,4,2,NA,3,2,IM,Crustacivores
10202,Sphyraenidae,Sphyraena,viridensis,65,5,3,NA,3,3,FC,
10206,Diodontidae,Chilomycterus,reticulatus,55,5,2,2,1,1,IM,Macroinvertivores
1021,Dactylopteridae,Dactylopterus,volitans,50,5,1,2,1,1,IM,Crustacivores
10216,Muraenidae,Pseudechidna,brummeri,103,6,1,3,1,1,FC,Crustacivores
10217,Muraenidae,Uropterygius,micropterus,30,4,1,3,1,1,IM,Crustacivores
1022,Diodontidae,Diodon,hystrix,91,6,2,2,1,1,IM,Macroinvertivores
10220,Ariidae,Netuma,thalassina,185,6,3,NA,NA,NA,IM,
10224,Pomacentridae,Neopomacentrus,anabatoides,10.5,2,1,1,5,2,PK,Planktivores
10225,Syngnathidae,Halicampus,macrorhynchus,18,3,1,1,1,1,IM,Microinvertivores
10226,Carapidae,Encheliophis,vermicularis,12,2,1,3,1,1,OM,
10227,Pomacentridae,Neopomacentrus,azysron,7.5,2,1,1,5,2,PK,Planktivores
10228,Pomacentridae,Neopomacentrus,metallicus,6,1,1,1,5,2,PK,Planktivores
10229,Pomacentridae,Neoglyphidodon,bonang,13,2,1,1,3,1,OM,Planktivores
10230,Pomacentridae,Neoglyphidodon,carlsoni,10,2,1,1,3,1,OM,Planktivores
10232,Tetrarogidae,Ablabys,taenianotus,15,2,1,3,1,1,IM,
10235,Pomacentridae,Neoglyphidodon,polyacanthus,12,2,1,1,3,1,OM,Planktivores
10239,Pomacentridae,Parma,oligolepis,16.5,3,1,1,1,1,HD,Herbivores Microvores Detritivores
1024,Ephippidae,Chaetodipterus,faber,91,6,3,1,4,3,IM,sessile invertivores
10242,Pomacentridae,Plectroglyphidodon,flaviventris,7,2,1,1,1,1,OM,Planktivores
10247,Pomacentridae,Pomacentrus,albimaculus,7,2,1,1,3,1,OM,Planktivores
10249,Bythitidae,Dermatopsoides,talboti,5.7,1,1,3,1,1,IM,
10250,Syngnathidae,Haliichthys,taeniophorus,30,4,1,1,1,1,IM,Microinvertivores
10252,Pomacentridae,Pomacentrus,australis,8,2,1,1,3,1,OM,Herbivores Microvores Detritivores
10253,Platycephalidae,Rogadius,welanderi,13,2,3,2,3,1,IM,
10257,Ogcocephalidae,Halieutaea,fitzsimonsi,30,4,2,NA,1,1,FC,
10276,Antennariidae,Antennarius,pictus,30,3,1,3,1,1,FC,
10277,Pomacentridae,Pomacentrus,opisthostigma,6.5,1,1,1,1,1,OM,Planktivores
10279,Pomacentridae,Pomacentrus,smithi,7,2,1,1,5,2,PK,Planktivores
10280,Pomacentridae,Pomacentrus,taeniometopon,12,2,1,1,3,1,OM,Planktivores
10281,Pomacentridae,Pomacentrus,wardi,8,2,1,1,3,1,OM,Planktivores
10282,Pomacentridae,Pomacentrus,fuscidorsalis,6,1,1,1,4,2,PK,
10283,Pseudotrichonotidae,Velifer,hypselopterus,40,4,3,NA,NA,2,IM,
10287,Chaetodontidae,Coradion,melanopus,15,3,1,1,2,1,IM,Microinvertivores
10288,Scorpaenidae,Pterois,mombasae,20,3,1,3,1,2,FC,Crustacivores
10293,Chaetodontidae,Amphichaetodon,melbae,11,2,1,1,1,1,IM,Microinvertivores
